========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
194   79.10          94.10          791/1000       52190/55463    
195   78.50          94.13          785/1000       52208/55463    
196   78.70          94.43          787/1000       52373/55463    
197   75.50          93.47          755/1000       51843/55463    
198   77.80          94.50          778/1000       52412/55463    
199   79.90          94.75          799/1000       52549/55463    
200   79.00          94.19          790/1000       52238/55463    


========== Textual Sudoku on Palm 9k/1k dataset with L_attention ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset palm --gpu 0 --seed 0 --loss att_c1 --hyper 0 1
Hyperparameters:  [0.0, 1.0]
Reading ../data/sudoku-hard/train.csv...
Reading ../data/sudoku-hard/test.csv...
[palm] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           11.32          0/1000         6277/55463     
2     0.00           11.24          0/1000         6234/55463     
3     0.00           11.11          0/1000         6161/55463     
4     0.00           15.94          0/1000         8840/55463     
5     0.00           17.83          0/1000         9887/55463     
6     0.00           18.79          0/1000         10423/55463    
7     0.00           20.27          0/1000         11244/55463    
8     0.00           21.32          0/1000         11823/55463    
9     0.00           22.49          0/1000         12473/55463    
10    0.00           22.88          0/1000         12688/55463    
11    0.00           24.63          0/1000         13661/55463    
12    0.00           24.84          0/1000         13776/55463    
13    0.00           26.11          0/1000         14482/55463    
14    0.00           26.65          0/1000         14781/55463    
15    0.00           28.38          0/1000         15740/55463    
16    0.00           28.73          0/1000         15933/55463    
17    0.00           29.46          0/1000         16339/55463    
18    0.00           29.89          0/1000         16579/55463    
19    0.00           31.37          0/1000         17401/55463    
20    0.00           33.16          0/1000         18392/55463    
21    0.00           34.55          0/1000         19164/55463    
22    0.00           35.07          0/1000         19450/55463    
23    0.00           35.64          0/1000         19768/55463    
24    0.00           36.64          0/1000         20320/55463    
25    0.00           37.43          0/1000         20760/55463    
26    0.00           38.24          0/1000         21209/55463    
27    0.00           39.04          0/1000         21655/55463    
28    0.00           39.68          0/1000         22009/55463    
29    0.00           40.20          0/1000         22295/55463    
